分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,,1500,1357,0.9047,0.909,65.21,0.7893,0.9129,0.0373,0.9666
情景类别,故障原因诊断类,500,500,1.0,1.0,32.6,0.989,1.0,0.076,1.0
情景类别,故障措施推荐类,500,439,0.878,0.878,129.38,0.7798,0.934,0.0,0.9672
情景类别,风险影响评估类,500,418,0.836,0.849,33.67,0.599,0.8046,0.036,0.9201
题型,fmea_id_to_action,167,167,1.0,1.0,3.0,1.0,1.0,0.0,
题型,fmea_id_to_cause,167,167,1.0,1.0,3.85,1.0,1.0,0.0,
题型,fmea_id_to_risk_profile,166,166,1.0,1.0,3.39,0.3855,1.0,0.0,
题型,原因后果查建议措施,48,48,1.0,1.0,106.43,0.4236,1.0,0.0,1.0
题型,原因后果查风险指标,86,85,0.9884,0.9884,13.94,0.9942,0.9913,0.0,0.9913
题型,后果探测度查原因,105,105,1.0,1.0,42.16,0.973,1.0,0.0857,1.0
题型,后果查措施,37,37,1.0,1.0,14.76,1.0,1.0,0.0,1.0
题型,失效现象后果查RPN,68,45,0.6618,0.6618,9.49,0.9853,0.6618,0.0,
题型,失效现象后果查处置建议,37,21,0.5676,0.5676,127.97,0.482,0.8919,0.0,0.8919
题型,失效现象查完整风险画像,47,8,0.1702,0.2979,280.09,0.3156,0.7883,0.0,0.7883
题型,失效现象风险分查措施,50,24,0.48,0.48,313.08,0.3867,0.66,0.0,
题型,项目原因查后果与RPN,1,0,0.0,0.5,83.62,0.1667,1.0,0.0,1.0
题型,项目失效现象发生度查原因,71,71,1.0,1.0,14.16,1.0,1.0,0.1408,
题型,项目失效现象后果查原因,78,78,1.0,1.0,115.55,0.9658,1.0,0.2308,
题型,项目失效现象查后果,64,46,0.7188,0.7188,4.1,0.0,0.0,0.0,
题型,项目失效现象查后果与RPN,68,68,1.0,1.0,13.45,1.0,1.0,0.2647,
题型,项目失效现象查措施,37,37,1.0,1.0,14.97,1.0,1.0,0.0,
题型,项目失效现象查改进动作,37,18,0.4865,0.4865,985.81,0.5,0.6757,0.0,
题型,项目失效现象风险指标查原因,79,79,1.0,1.0,15.31,1.0,1.0,0.0127,1.0
题型,项目失效现象风险查措施,37,37,1.0,1.0,12.54,0.7,1.0,0.0,
题型,风险画像查措施,50,50,1.0,1.0,13.08,0.94,1.0,0.0,
来源标签,原因到措施推理,48,48,1.0,1.0,106.43,0.4236,1.0,0.0,1.0
来源标签,后果与风险指标查询,68,68,1.0,1.0,13.45,1.0,1.0,0.2647,
来源标签,后果到原因推理,105,105,1.0,1.0,42.16,0.973,1.0,0.0857,1.0
来源标签,后果到措施推理,74,58,0.7838,0.7838,71.36,0.741,0.9459,0.0,0.9459
来源标签,完整风险画像,47,8,0.1702,0.2979,280.09,0.3156,0.7883,0.0,0.7883
来源标签,故障原因查询,245,245,1.0,1.0,39.41,0.9891,1.0,0.0735,
来源标签,故障措施查询,304,278,0.9145,0.9145,57.12,0.8893,0.9441,0.0,
来源标签,项目范围原因查询,150,150,1.0,1.0,14.76,1.0,1.0,0.0733,1.0
来源标签,项目范围措施查询,74,55,0.7432,0.7432,499.17,0.6,0.8378,0.0,
来源标签,项目范围风险评估,1,0,0.0,0.5,83.62,0.1667,1.0,0.0,1.0
来源标签,风险后果查询,230,212,0.9217,0.9217,3.59,0.2783,0.7217,0.0,
来源标签,风险指标查询,154,130,0.8442,0.8442,11.98,0.9903,0.8458,0.0,0.9913
难度,中等,541,522,0.9649,0.9649,74.79,0.7512,0.9778,0.0518,
难度,困难,440,383,0.8705,0.8852,69.25,0.811,0.9666,0.0227,0.9666
难度,简单,519,452,0.8709,0.8709,51.81,0.8105,0.7996,0.0347,
