分组维度,分类,题数,正确题数,完全准确率,平均部分准确率,平均耗时毫秒,上下文精确率,证据召回率,幻觉率,多跳路径覆盖率
模块标签,M1_编号直答,50,12,0.24,0.24,561.72,0.1167,0.6071,0.0,
模块标签,M2_规则推理,50,36,0.72,0.72,805.56,0.2769,0.94,0.0,
模块标签,M3_查询理解与语义检索增强,50,26,0.52,0.52,804.4,0.3067,0.86,0.0,
模块标签,M4_证据裁决,50,39,0.78,0.78,771.95,0.4033,0.4033,0.02,
情景类别,模块专项测试,200,113,0.565,0.565,735.91,0.2759,0.7031,0.005,
题型,module_m1_action,10,2,0.2,0.2,294.37,0.0833,0.3333,0.0,
题型,module_m1_cause,10,4,0.4,0.4,761.69,0.15,0.7,0.0,
题型,module_m1_effect,10,2,0.2,0.2,64.24,0.35,0.7,0.0,
题型,module_m1_rpn,10,2,0.2,0.2,825.08,0.0,0.6,0.0,
题型,module_m1_sod,10,2,0.2,0.2,863.2,0.0,0.675,0.0,
题型,module_m2_avg_d,10,8,0.8,0.8,1355.39,0.2687,1.0,0.0,
题型,module_m2_avg_rpn,10,10,1.0,1.0,65.41,0.2565,1.0,0.0,
题型,module_m2_avg_s,10,8,0.8,0.8,1323.28,0.2454,1.0,0.0,
题型,module_m2_max_mode,10,8,0.8,0.8,52.04,0.2306,1.0,0.0,
题型,module_m2_min_mode,10,2,0.2,0.2,1231.66,0.3833,0.7,0.0,
题型,module_m3_action,10,4,0.4,0.4,753.05,0.1333,0.6,0.0,
题型,module_m3_cause,10,7,0.7,0.7,1055.69,0.2,0.9,0.0,
题型,module_m3_cause2,10,4,0.4,0.4,1127.78,0.2667,0.9,0.0,
题型,module_m3_effect,10,2,0.2,0.2,123.48,0.3834,0.9,0.0,
题型,module_m3_effect2,10,9,0.9,0.9,961.99,0.55,1.0,0.0,
题型,module_m4_bool_0,10,8,0.8,0.8,62.13,0.0,0.0,0.0,
题型,module_m4_bool_1,10,6,0.6,0.6,1200.08,0.45,0.45,0.0,
题型,module_m4_bool_2,10,10,1.0,1.0,455.31,0.4667,0.4667,0.0,
题型,module_m4_bool_3,10,6,0.6,0.6,1224.08,0.5833,0.5833,0.1,
题型,module_m4_bool_4,10,9,0.9,0.9,918.15,0.5167,0.5167,0.0,
来源标签,,200,113,0.565,0.565,735.91,0.2759,0.7031,0.005,
难度,中等,100,62,0.62,0.62,804.98,0.2918,0.9,0.0,
难度,困难,50,39,0.78,0.78,771.95,0.4033,0.4033,0.02,
难度,简单,50,12,0.24,0.24,561.72,0.1167,0.6071,0.0,
