FMEA编号,产品,分析层级,项目/功能,潜在失效模式,潜在失效后果,严酷度(S),潜在失效原因/机理,发生度(O),现行预防控制,现行探测控制,可探测度(D),风险优先数(RPN),措施优先级(AP),建议措施,措施状态,措施结果,备注
1,,,动力电池      ,现场电池组无输出电压,电池组无法工作   ,7,1、电池组开路 2、未明确区分正负极 3、主电缆未连接、连接错误或器件损坏,3,用颜色和材料区分,,3,63,,现场更换损坏器件和改正错误,,,
2,,,,单体电压过低,影响用户使用,7,单节电池容量降低或损坏,4,设定标准值,万用表测量,6,168,,更换电压过低电池,,,
3,,,,巡航里程低于额定值,影响用户使用,7,电池组单节容量降低或整体过低,4,设定标准值,充放电性能测试,6,168,,更换电压过低电池,,,
4,,, 电池组箱体         ,电池箱体进水,电池短路、电子器件失效或损坏、箱体生锈,7,电池箱体密封不严,3,提高防护等级,绝缘检测,6,126,,现场做防水处理,,,
5,,,,电池箱体进灰尘,电子器件失效或损坏、影响电池组散热,7,电池箱体密封不严,2,提高防护等级,绝缘检测,6,84,,现场做防尘处理,,,
6,,,,电池组漏液,安全事故,9,电池组间隙大电池受到挤压碰撞震动,2,,整体震动挤压试验,6,108,,现场做防震处理,,,
7,,,绝缘注塑件      ,注塑件起火,安全事故,10,绝缘注塑件不阻燃,1,,阻燃、绝缘试验,6,20,,更换绝缘注塑件,,,
8,,,  电池壳体                    ,电解液挥发,电池容量降低,7,电池壳体密封不严,2,,,6,84,,更换电池,,,
9,,,,电池漏液,安全事故,9,外力损伤；碰撞、安装不规范造成密封结构破坏；制造原因：焊接缺陷、封合胶量不足造成密封性能不好。,2,,单体震动挤压试验,6,108,,更换电池,,,
10,,,         高压箱           ,漏电,安全事故,10,无有效保护措施,2,提高防护等级,漏电检测,6,120,,现场做防护处理,,,
11,,,,过电流,安全事故,9,使用电流高于额定电流不保护,2,,过流保护,5,18,,,,,
12,,,,输出不受控制,安全事故,9,元器件损坏,4,,,5,180,,更换损坏器件,,,
13,,,,高压带电,安全事故,10,无有效保护措施,2,提高防护等级,,6,120,,,,,
14,,,,在负载连接的情况下意外开盖,安全事故,9,负载未断开、违规操作,2,提高防护等级,,5,90,,,,,
15,,,,充电时触电,安全事故,9,充电时继电器未断开,2,提高防护等级,,5,90,,,,,
16,,,     热管理系统,电池组整体温度过高,影响电池工作,6,风道设计不合理,4,,,7,168,,增加散热,,,
17,,,,电池组整体温度过低,影响电池工作,6,加热系统未工作或设计达不到要求,4,,,7,168,,更换加热系统,,,
18,,,,噪音过大,影响乘车环境,3,风扇固定不牢靠或功率过高,5,,,8,120,,更换风扇,,,
19,,,,电池间温度一致性差,影响电池工作,4,通风方式不合理,5,,,7,140,,增加散热,,,
20,,,,整体温度高，管理目标无法实现,影响电池工作,4,环境温度过高,3,,,7,84,,外部环境降温,,,
21,,,,连接片过热,安全事故,10,连接片氧化、未压紧防松螺母连接电阻增加、截面积小或材质不纯,3,,充放电性能测试,3,90,,更换连接片或压紧防松螺母,,,
22,,,电池管理系,数据采样干扰性大和采样不准确,影响用户使用,4,电磁干扰，电路板虚焊或保护电阻损坏,6,BMS 控制系统升级,老化试验,5,120,,定期检查和更新BMS系统,,,
23,,,,SOC异常,影响用户使用,4,BMS SOC算法不合理,6,更换SOC算法,充放电性能测试,6,144,,定期检查和更新BMS系统,,,
24,,,,电池组过充未报警和未保护,安全事故,10,BMS 控制系统损坏,1,BMS 控制系统升级,充放电性能测试,6,60,,定期检查和更新BMS系统,,,
25,,,,电池组过放未报警和未保护,影响电池寿命或永久性损坏,8,BMS 控制系统损坏,5,BMS 控制系统升级,充放电性能测试,6,240,,定期检查和更新BMS系统,,,
26,,,,BMS通信异常,影响电池工作,4,通信线断裂、线路连接错误、受电磁干扰,5,,,6,120,,定期检查和更新BMS系统,,,
